State,State-Code,District,female_school_attendance,female_literacy,women_10yr_schooling,child_marriage,hh_electricity,improved_water,improved_sanitation,clean_fuel,health_insurance,anc_first_trimester,anc_4plus_visits,ifa_100days,postnatal_care_2days,oop_expenditure_delivery,institutional_births,institutional_births_public,skilled_birth_attendance,csection_rate,child_stunting,child_underweight,women_anaemic
Gujarat,GJ,Mahesana,71.3,75.1,32.6,32.3,97.7,97.0,72.1,63.1,40.7,59.7,56.6,58.3,79.7,5103.0,97.3,27.4,91.6,28.7,31.0,41.4,69.3
Gujarat,GJ,Mahisagar,66.1,70.9,33.9,30.7,95.2,94.8,44.4,47.4,46.0,77.2,76.6,63.3,90.9,2087.0,93.0,26.6,92.7,16.6,43.4,49.0,72.5
Gujarat,GJ,Morbi,70.5,82.4,35.4,8.9,99.9,98.3,80.1,73.6,34.4,89.8,75.1,55.8,89.9,1370.0,94.8,30.1,96.4,20.2,32.9,32.3,50.7
Gujarat,GJ,Narmada,66.0,67.3,22.6,29.5,92.7,96.8,54.6,31.3,51.1,81.7,83.4,65.1,87.2,753.0,81.7,66.3,84.2,7.3,47.2,52.8,75.9
Gujarat,GJ,Navsari,77.9,84.1,47.7,15.7,98.7,97.4,80.1,70.2,42.0,93.4,94.7,79.1,98.2,1188.0,99.3,49.6,99.1,26.5,36.8,43.6,68.7
Gujarat,GJ,Panchmahal,70.1,71.7,28.4,34.1,95.5,91.0,58.9,43.6,34.0,74.0,88.7,64.2,88.0,2680.0,88.4,24.7,84.2,9.9,47.1,51.9,69.8
Gujarat,GJ,Patan,64.8,71.1,22.6,35.4,98.3,99.4,73.1,62.6,50.2,86.2,79.8,68.1,93.6,783.0,98.6,25.2,97.1,18.9,50.5,42.3,59.8
Gujarat,GJ,Porbandar,74.9,84.3,35.9,10.0,99.8,96.2,85.7,76.9,42.1,93.5,92.1,56.5,97.6,685.0,100.0,61.2,96.0,19.2,18.2,25.5,47.6
Gujarat,GJ,Rajkot,78.4,84.7,42.6,12.1,99.6,99.5,85.4,83.6,45.1,94.0,93.5,60.6,98.1,668.0,99.3,40.9,100.0,24.7,38.9,37.0,60.5
Gujarat,GJ,Sabarkantha,68.7,74.5,31.1,27.0,95.3,90.7,61.0,58.7,49.3,70.1,73.2,52.2,86.9,1828.0,89.4,38.3,83.0,23.7,37.0,41.0,67.3
Gujarat,GJ,Surat,82.7,84.2,44.0,13.1,99.3,98.9,82.0,88.6,31.6,92.2,93.4,73.1,96.7,2342.0,97.7,41.1,98.8,25.0,36.1,32.5,69.0
Gujarat,GJ,Surendranagar,66.0,75.1,23.3,19.5,99.4,96.9,63.8,56.9,50.4,84.0,57.5,39.6,78.4,1721.0,85.6,45.4,83.6,12.2,39.2,41.8,55.6
Gujarat,GJ,Tapi,66.1,72.0,32.5,25.3,97.6,99.0,70.2,45.5,42.3,83.2,91.0,73.6,90.0,846.0,92.9,72.6,85.2,14.8,41.7,51.8,77.4
Gujarat,GJ,The Dangs,69.9,68.9,20.7,30.2,95.9,91.2,71.7,23.4,44.3,86.4,90.2,78.9,80.1,663.0,74.5,64.2,77.1,7.1,37.6,53.1,77.2
Gujarat,GJ,Vadodara,82.0,84.6,46.4,22.8,97.3,99.5,85.6,78.1,41.7,80.4,65.9,53.1,90.7,1597.0,95.9,45.7,95.2,29.9,42.3,39.9,72.3
Gujarat,GJ,Valsad,79.0,82.9,45.6,19.4,98.6,98.0,85.3,73.1,40.6,88.3,92.5,76.5,95.0,958.0,96.5,44.7,98.5,16.9,37.8,34.8,75.7
Himachal Pradesh,HP,Bilaspur,81.3,91.2,64.2,10.0,100.0,92.9,80.8,35.8,35.4,76.4,81.4,72.4,92.9,3360.0,91.7,72.1,87.6,19.2,40.1,38.8,53.0
Himachal Pradesh,HP,Chamba,70.1,84.1,50.9,3.8,99.1,85.5,86.5,35.0,26.8,75.1,62.7,65.4,72.9,4252.0,72.0,64.9,74.1,10.5,42.6,26.0,43.7
Himachal Pradesh,HP,Hamirpur,86.7,94.8,76.1,3.5,99.7,98.0,85.5,44.7,32.0,67.5,59.4,69.9,88.9,4229.0,97.6,75.1,92.4,21.3,27.3,23.6,49.5
Himachal Pradesh,HP,Kangra,84.1,94.4,69.9,1.5,99.7,98.6,73.3,49.1,36.4,51.5,56.3,63.4,88.7,2087.0,90.2,75.0,87.5,28.2,28.0,32.0,63.4
Himachal Pradesh,HP,Kinnaur,73.8,89.1,56.1,27.9,99.6,96.9,80.1,70.4,35.9,77.8,75.3,68.7,83.4,3884.0,82.7,76.4,84.1,18.6,32.2,18.9,51.7
Himachal Pradesh,HP,Kullu,77.4,87.4,54.4,8.7,99.2,94.3,81.2,65.0,26.8,62.1,60.0,61.9,84.6,2919.0,87.0,66.8,88.1,13.6,35.9,25.6,52.8
Himachal Pradesh,HP,Lahul and Spiti,65.6,86.2,55.9,11.2,99.8,89.2,61.7,71.7,31.2,62.4,65.6,72.7,81.1,3533.0,86.4,75.9,86.7,17.7,28.5,18.4,82.1
Himachal Pradesh,HP,Mandi,79.2,94.0,71.8,6.3,99.5,96.5,87.0,38.6,41.3,81.2,70.3,68.4,84.2,2859.0,86.6,77.4,86.4,16.0,31.3,21.3,48.9
