State,State-Code,District,female_school_attendance,female_literacy,women_10yr_schooling,child_marriage,hh_electricity,improved_water,improved_sanitation,clean_fuel,health_insurance,anc_first_trimester,anc_4plus_visits,ifa_100days,postnatal_care_2days,oop_expenditure_delivery,institutional_births,institutional_births_public,skilled_birth_attendance,csection_rate,child_stunting,child_underweight,women_anaemic
Nagaland,NL,Kohima,90.4,95.2,70.9,1.0,99.5,89.9,87.4,61.7,26.7,61.9,28.3,17.2,58.9,4970.0,66.9,44.7,78.9,4.3,28.3,22.1,14.9
Nagaland,NL,Longleng,81.2,82.0,23.8,11.0,99.1,76.3,86.6,11.8,38.3,42.3,15.4,2.6,28.5,7152.0,38.7,37.8,44.6,3.6,34.1,25.7,34.6
Nagaland,NL,Mokokchung,88.0,94.0,55.8,6.0,97.7,97.4,96.7,46.2,22.3,51.6,18.2,12.5,47.4,6242.0,51.5,47.3,61.7,3.8,31.4,22.9,25.0
Nagaland,NL,Mon,79.4,78.2,24.3,3.0,96.4,86.7,86.4,13.0,39.3,44.6,9.7,10.6,25.6,2965.0,21.4,20.2,30.9,1.4,35.5,23.3,30.2
Nagaland,NL,Peren,81.1,77.6,35.5,9.1,98.2,92.5,89.4,31.4,5.4,45.1,14.5,6.1,46.9,4945.0,43.5,38.7,52.5,2.4,34.9,20.7,29.7
Nagaland,NL,Phek,80.5,85.8,39.4,6.5,99.4,98.1,90.1,24.2,24.9,50.1,9.5,13.5,39.6,5886.0,32.2,29.2,50.7,1.7,28.0,15.6,30.0
Nagaland,NL,Tuensang,80.5,77.8,27.0,10.4,96.6,90.4,92.0,19.7,22.0,27.1,4.4,3.3,29.5,3394.0,34.8,34.1,39.2,1.5,37.1,34.2,28.8
Nagaland,NL,Wokha,85.8,91.6,45.3,3.2,99.7,83.4,88.5,41.2,20.6,57.8,34.7,12.9,50.7,7125.0,43.6,24.2,63.5,10.1,26.3,28.0,30.9
Nagaland,NL,Zunheboto,87.4,87.1,40.2,4.0,99.4,91.0,88.9,18.6,18.1,46.5,11.2,5.5,24.9,7554.0,35.0,32.2,40.5,7.6,44.0,44.5,31.1
Sikkim,SK,East District,86.4,90.1,53.2,9.4,99.4,93.6,85.0,87.6,29.9,53.4,43.8,48.3,65.8,8471.0,91.8,70.4,94.2,36.9,17.8,13.0,43.3
Sikkim,SK,North District,78.5,81.4,37.7,16.0,98.9,94.7,83.8,65.9,24.5,66.2,59.4,74.0,71.3,7390.0,97.3,91.1,98.5,27.3,31.8,15.3,36.7
Sikkim,SK,South District,80.2,90.5,45.7,9.9,99.6,93.3,91.7,66.5,20.8,78.1,84.5,71.3,83.1,11031.0,97.4,86.4,99.4,27.8,24.8,7.2,39.8
Sikkim,SK,West District,81.8,85.7,43.9,14.1,98.8,89.9,88.9,69.8,19.9,75.8,70.4,48.6,63.6,5361.0,99.3,89.9,99.3,28.0,25.2,19.3,42.7
Telangana,TG,Adilabad,58.6,64.8,41.0,21.4,99.2,95.7,50.8,81.6,63.6,89.7,74.8,44.4,83.4,4105.0,94.1,66.8,93.9,40.7,45.7,52.0,61.1
Telangana,TG,Bhadradri Kothagudem,62.7,68.7,41.8,20.8,99.4,99.1,75.3,89.2,59.4,92.8,70.1,62.5,87.1,3255.0,97.4,53.9,94.2,58.0,28.4,25.3,68.7
Telangana,TG,Hyderabad,80.3,83.6,63.2,10.6,99.9,99.6,84.4,99.5,48.9,87.9,69.9,72.2,91.2,2815.0,98.3,48.3,94.6,59.7,30.4,18.9,52.7
Telangana,TG,Jagitial,55.9,62.4,43.5,28.4,99.3,97.3,76.5,94.7,59.2,94.6,81.9,53.5,84.1,3494.0,94.4,39.8,91.9,68.1,29.9,32.3,56.3
Telangana,TG,Jangoan,56.6,65.5,44.0,20.3,99.3,99.4,84.3,91.1,71.7,89.7,65.4,59.4,85.6,4741.0,99.6,49.6,90.1,79.1,33.4,30.9,57.5
Telangana,TG,Jayashankar Bhupalapally,52.4,58.9,36.3,24.9,99.3,95.1,65.6,90.3,71.5,94.6,72.7,58.9,89.1,5993.0,99.5,61.3,95.1,64.3,32.5,36.7,65.9
Telangana,TG,Jogulamba Gadwal,47.8,45.0,27.4,34.6,99.8,97.0,73.7,86.1,61.8,88.3,72.9,56.6,88.3,2832.0,94.2,46.5,91.7,41.7,49.7,41.7,64.6
Telangana,TG,Kamareddy,51.1,58.6,35.6,30.8,99.5,99.4,68.2,82.3,66.5,87.5,79.5,56.1,86.8,5957.0,97.1,59.1,93.2,55.4,33.4,43.9,58.9
Telangana,TG,Karimnagar,63.6,70.3,50.8,11.9,99.7,98.3,78.8,94.9,58.6,92.3,69.6,48.8,89.5,4573.0,98.4,34.2,86.9,82.4,30.3,27.5,61.1
Telangana,TG,Khammam,61.8,66.3,40.9,35.0,99.7,98.4,84.5,97.1,60.4,84.9,76.3,66.7,93.2,3771.0,97.9,39.0,93.2,69.2,22.2,26.2,62.4
Telangana,TG,Komaram Bheem Asifabad,52.9,51.7,28.7,25.0,97.8,93.6,54.0,85.8,63.6,80.0,68.8,49.0,85.5,4121.0,82.0,55.7,83.4,27.2,38.1,41.1,67.3
Telangana,TG,Mahabubabad,55.0,58.0,34.7,28.3,99.6,98.2,68.6,86.6,69.3,87.8,67.7,52.1,91.5,3234.0,97.7,41.5,95.4,74.0,33.0,26.3,62.8
Telangana,TG,Mahabubnagar,54.8,59.6,40.4,23.4,99.4,99.6,73.7,85.9,70.3,86.2,62.6,69.1,84.9,2369.0,98.1,59.2,97.6,43.4,42.6,33.0,54.7
Telangana,TG,Mancherial,58.4,69.5,48.8,14.0,99.6,95.6,78.1,93.1,64.4,86.7,64.7,68.1,87.7,3041.0,90.1,33.9,96.9,67.9,25.9,27.4,56.7
Telangana,TG,Medak,52.3,57.7,39.3,31.8,99.4,99.9,78.2,80.1,61.2,78.9,68.5,41.8,80.8,6139.0,98.9,62.2,92.9,51.3,36.4,42.0,54.4
Telangana,TG,Medchal-Malkajgiri,72.9,79.5,59.3,10.2,100.0,99.9,86.2,99.0,53.8,89.4,69.6,60.8,90.6,3534.0,98.3,39.4,96.2,61.0,33.4,25.0,56.8
Telangana,TG,Nagarkurnool,51.1,57.1,36.0,32.1,99.9,99.6,73.2,87.3,68.6,92.4,75.1,65.9,90.3,2975.0,98.0,56.2,94.5,53.0,35.1,30.9,54.0
Telangana,TG,Nalgonda,59.8,62.6,40.9,28.2,99.9,99.2,76.4,94.6,64.8,90.5,65.7,66.8,92.2,4320.0,98.3,57.4,99.0,65.7,31.7,28.0,54.3
Telangana,TG,Nirmal,53.3,58.6,40.9,23.3,99.5,98.3,63.6,88.8,49.9,85.2,69.7,58.7,87.2,5080.0,96.7,31.3,91.6,77.3,31.7,33.4,57.7
Telangana,TG,Nizamabad,54.3,63.1,42.4,23.7,99.9,99.4,72.5,92.4,52.3,87.9,78.5,40.9,79.5,5262.0,97.3,46.4,91.8,66.7,30.5,38.4,57.0
Telangana,TG,Peddapalli,61.3,73.7,46.6,13.6,99.5,98.0,77.8,96.6,59.1,83.5,77.9,61.0,87.6,3850.0,96.5,45.8,96.2,71.6,27.5,33.1,64.6
Telangana,TG,Rajanna Sircilla,56.4,64.7,46.4,13.2,99.8,98.7,77.4,96.6,62.8,90.4,67.1,55.2,89.9,3065.0,97.6,37.7,95.4,77.2,22.4,26.1,56.0
Telangana,TG,Ranga Reddy,68.6,72.1,51.4,29.0,99.7,99.4,81.1,97.0,58.3,95.5,75.1,48.2,89.8,3499.0,97.2,48.2,92.7,57.8,37.8,29.5,53.2
Telangana,TG,Sangareddy,60.2,63.6,41.5,30.6,99.6,99.4,68.0,81.1,58.1,82.8,66.4,44.0,84.7,4718.0,93.0,63.2,95.1,43.2,32.9,35.1,48.3
Telangana,TG,Siddipet,60.8,71.0,51.3,19.0,99.5,97.2,84.1,93.2,60.9,86.1,62.6,60.6,74.1,5528.0,99.7,47.3,90.5,69.0,28.1,29.6,56.7
Telangana,TG,Suryapet,57.4,63.5,42.5,29.5,99.4,99.8,77.9,94.5,63.1,92.7,70.4,67.1,88.6,3615.0,95.9,40.5,94.2,77.0,29.1,30.1,57.5
Telangana,TG,Vikarabad,53.1,59.3,38.3,39.8,99.1,99.7,66.7,76.0,59.6,78.0,54.8,37.2,80.8,3201.0,95.0,54.9,86.7,48.0,32.1,37.1,61.0
Telangana,TG,Wanaparthy,49.3,52.1,37.0,32.6,99.2,99.4,75.9,88.9,70.1,91.4,62.8,64.3,87.6,2989.0,99.0,51.4,96.6,50.9,40.4,33.2,58.7
Telangana,TG,Warangal Rural,51.8,60.1,40.0,22.9,99.7,99.0,74.3,87.8,72.0,86.8,70.4,51.9,93.8,3713.0,100.0,63.1,94.5,71.8,36.1,37.9,59.3
Telangana,TG,Warangal Urban,70.3,76.9,57.2,22.7,99.6,99.1,81.2,94.6,62.0,88.4,71.3,63.7,92.6,2825.0,99.7,41.9,93.0,69.3,29.5,36.0,57.9
Telangana,TG,Yadadri Bhuvanagiri,59.1,68.4,48.0,21.6,99.6,99.7,81.9,94.9,65.3,92.1,67.2,60.5,93.2,3082.0,97.7,54.9,94.1,68.2,38.3,27.2,53.8
Tripura,TR,Dhalai,74.8,71.6,13.9,38.9,97.7,70.3,67.6,34.0,44.2,58.1,52.0,26.0,72.4,4010.0,87.3,84.5,87.7,10.1,45.7,27.6,70.0
Tripura,TR,Gomati,80.1,77.2,22.8,42.8,98.8,87.7,77.4,47.7,29.9,54.0,40.6,22.0,66.3,10954.0,93.2,90.0,94.1,23.6,22.7,29.0,62.3
Tripura,TR,Khowai,81.3,80.5,18.9,28.3,99.0,83.2,67.8,41.5,44.1,57.2,41.5,38.0,59.7,7328.0,95.7,90.7,95.2,27.8,47.0,24.7,63.7
Tripura,TR,North Tripura,86.4,83.1,23.7,34.2,96.2,75.6,74.1,41.6,28.7,75.5,67.1,17.3,76.6,4418.0,85.4,65.2,86.7,18.2,26.2,32.2,69.3
Tripura,TR,Sepahijala,78.9,79.6,21.7,51.9,99.0,97.4,75.4,37.1,31.6,61.9,52.8,18.8,72.1,8389.0,87.7,81.7,87.2,21.8,34.5,21.0,69.4
Tripura,TR,South Tripura,80.4,80.3,21.6,46.2,95.9,90.5,68.6,29.4,37.3,54.2,58.4,29.5,68.0,7199.0,89.7,80.9,88.6,20.4,25.5,21.6,66.5
Tripura,TR,Unakoti,81.6,76.4,18.7,38.0,96.4,78.6,61.8,29.2,28.0,41.0,24.6,31.6,44.5,7693.0,71.5,55.4,66.0,11.2,31.8,32.0,67.9
Tripura,TR,West Tripura,85.3,86.2,30.9,37.1,99.8,98.5,80.2,65.2,28.1,78.7,61.2,31.8,87.7,5556.0,95.3,79.8,96.9,47.7,30.3,21.2,67.3
West Bengal,WB,Bankura,68.7,68.3,27.9,45.7,92.3,96.3,49.2,20.8,43.4,74.7,75.7,60.5,67.2,3274.0,93.3,83.3,93.8,22.7,30.3,38.8,77.0
West Bengal,WB,Birbhum,73.6,70.8,25.8,49.9,97.8,99.4,55.0,28.1,37.7,81.9,78.4,51.5,67.5,1391.0,90.3,72.7,92.2,25.4,37.0,41.8,77.7
West Bengal,WB,Dakshin Dinajpur,77.7,74.3,30.5,45.6,96.5,99.7,79.0,28.7,28.3,70.9,76.4,76.2,83.2,2593.0,91.4,81.2,94.0,25.3,31.9,30.2,82.0
West Bengal,WB,Darjeeling,78.3,77.0,41.3,21.2,98.2,90.8,83.0,68.8,26.3,85.0,79.2,62.2,73.9,2183.0,98.4,79.5,99.2,30.5,34.3,31.6,59.2
West Bengal,WB,Haora,82.0,80.5,40.1,30.4,99.0,99.5,72.9,61.9,20.1,84.8,82.7,69.2,70.7,2166.0,95.5,60.8,96.9,42.8,27.5,27.3,65.3
West Bengal,WB,Hugli,81.0,77.4,37.0,40.8,98.4,98.1,76.2,54.6,26.5,76.0,72.2,68.1,56.7,4558.0,97.0,67.9,97.4,49.7,28.9,33.4,75.1
West Bengal,WB,Jalpaiguri,73.7,73.6,33.9,18.7,97.4,95.2,73.2,42.7,35.8,77.5,88.4,70.7,74.8,2243.0,95.8,83.2,97.7,28.7,28.9,25.4,71.4
West Bengal,WB,Koch Bihar,75.7,79.2,26.7,46.7,98.2,99.3,75.7,25.7,36.0,71.3,77.3,58.8,71.9,2499.0,93.0,81.3,92.5,23.9,28.7,22.5,74.8
West Bengal,WB,Kolkata,87.2,87.6,55.4,16.7,99.6,99.3,60.9,91.7,21.1,74.2,71.7,67.5,72.8,1969.0,97.5,69.9,99.3,44.7,29.6,32.9,58.2
West Bengal,WB,Maldah,71.3,72.3,30.0,49.1,98.1,99.0,62.0,29.6,29.0,77.8,82.8,58.8,61.6,1961.0,87.7,76.6,88.9,22.2,40.5,35.3,73.6
West Bengal,WB,Murshidabad,74.7,67.6,24.2,55.4,96.7,99.1,69.7,30.7,28.4,73.9,66.9,52.8,49.8,2662.0,87.0,71.5,92.3,29.5,39.8,32.4,77.6
West Bengal,WB,Nadia,77.6,76.2,28.3,39.9,98.2,98.2,78.4,34.2,23.0,61.1,71.2,57.9,89.4,3776.0,97.7,54.2,98.6,58.2,26.1,25.1,73.4
West Bengal,WB,North Twenty Four Parganas,82.4,85.5,40.7,33.6,99.5,99.5,80.4,58.9,30.7,72.7,89.9,73.3,87.8,2809.0,97.5,74.4,98.3,47.5,32.4,23.6,65.3
West Bengal,WB,Paschim Barddhaman,74.8,73.5,37.1,31.8,97.0,95.2,71.5,56.3,21.8,70.3,70.4,57.0,64.1,3020.0,89.8,62.7,91.3,34.3,39.7,41.0,65.8
West Bengal,WB,Paschim Medinipur,72.1,70.9,26.2,55.7,95.4,95.5,58.3,17.5,25.8,52.6,63.1,64.3,79.7,3388.0,87.6,72.0,95.1,23.1,31.1,40.0,81.5
West Bengal,WB,Purba Barddhaman,71.2,73.2,27.3,50.4,96.8,99.1,64.2,32.1,37.2,72.5,80.5,68.3,65.2,1892.0,96.0,70.3,94.3,37.9,32.7,31.6,77.9
West Bengal,WB,Purba Medinipur,83.0,77.0,30.9,57.6,99.0,87.8,69.8,17.0,21.5,69.3,56.8,51.6,48.5,4390.0,91.5,71.5,94.6,36.1,25.8,30.6,70.4
West Bengal,WB,Puruliya,63.6,61.0,26.9,37.0,88.6,87.6,29.2,23.2,35.6,59.1,57.8,53.4,51.5,2478.0,89.8,82.7,91.4,11.9,36.9,46.3,76.7
West Bengal,WB,South Twenty Four Parganas,80.9,85.6,34.9,41.9,99.2,100.0,70.1,36.2,36.7,77.1,87.5,67.2,67.0,2142.0,91.0,77.7,93.2,26.6,36.7,32.2,61.6
West Bengal,WB,Uttar Dinajpur,68.1,65.4,29.3,30.3,96.9,99.8,63.8,27.2,21.0,76.6,70.1,59.3,60.9,2706.0,76.9,58.9,84.7,22.0,44.8,32.0,72.4
