State,State-Code,District,female_school_attendance,health_insurance,anc_first_trimester,anc_4plus_visits,ifa_100days,postnatal_care_2days,oop_expenditure_delivery,institutional_births,institutional_births_public,skilled_birth_attendance
Karnataka,KA,Tumkur,72.3,31.0,68.6,80.4,61.8,95.2,4533.0,100.0,66.9,93.1
Karnataka,KA,Udupi,82.0,50.9,75.1,59.4,51.3,89.2,2886.0,98.9,37.6,90.2
Karnataka,KA,Uttara Kannada,81.1,32.0,80.4,57.9,35.6,87.4,5362.0,99.3,69.5,99.2
Karnataka,KA,Yadgir,51.9,16.7,57.4,63.6,29.6,73.3,4386.0,93.3,73.4,93.0
Kerala,KL,Alappuzha,97.8,60.4,85.1,65.7,61.0,89.2,10557.0,99.4,49.0,100.0
Kerala,KL,Ernakulam,97.2,46.2,92.6,82.2,82.8,96.1,4940.0,99.1,23.2,100.0
Kerala,KL,Idukki,93.0,58.1,93.3,74.3,75.6,94.0,4942.0,100.0,47.6,100.0
Kerala,KL,Kannur,96.7,47.9,94.8,78.3,78.0,93.4,6125.0,100.0,33.6,100.0
Kerala,KL,Kasaragod,90.8,44.0,97.4,91.2,89.4,95.0,3778.0,100.0,29.9,100.0
Kerala,KL,Kollam,96.6,56.0,92.6,79.3,89.0,91.4,6836.0,100.0,44.7,100.0
Kerala,KL,Kottayam,97.9,53.2,81.6,55.1,51.1,85.0,10236.0,98.7,44.3,99.3
Kerala,KL,Kozhikode,97.7,61.1,98.3,91.8,85.7,91.0,4734.0,100.0,42.2,100.0
Kerala,KL,Malappuram,94.9,42.8,95.3,90.4,92.3,96.9,6760.0,100.0,25.6,100.0
Kerala,KL,Palakkad,89.6,53.8,97.7,68.4,71.7,97.5,6211.0,100.0,29.6,100.0
Kerala,KL,Pathanamthitta,97.7,50.1,92.9,83.9,74.7,95.2,7608.0,99.1,36.8,99.2
Kerala,KL,Thiruvananthapuram,94.5,48.7,87.7,55.3,71.6,86.2,10165.0,99.5,34.7,100.0
Kerala,KL,Thrissur,97.8,48.7,97.1,82.4,78.6,95.2,5007.0,100.0,30.9,100.0
Kerala,KL,Wayanad,88.2,64.8,97.6,94.2,94.9,95.9,7967.0,100.0,37.6,100.0
Ladakh,LH,Kargil,69.6,13.6,91.0,88.0,19.6,78.3,3569.0,93.7,93.7,95.6
Ladakh,LH,Leh (Ladakh),66.3,16.2,80.9,69.6,9.5,80.8,4043.0,96.4,95.7,98.4
Maharashtra,MH,Ahmednagar,77.4,12.0,71.4,76.6,53.3,90.9,5575.0,97.9,45.5,95.0
Maharashtra,MH,Akola,86.3,40.1,75.1,76.3,60.6,82.3,1753.0,97.7,65.9,86.4
Maharashtra,MH,Amravati,86.2,31.9,89.1,71.7,38.1,80.2,3557.0,91.3,65.4,89.7
Maharashtra,MH,Aurangabad,78.4,12.4,65.2,57.2,14.5,76.4,4039.0,94.8,61.1,96.3
Maharashtra,MH,Bhandara,80.3,30.0,83.7,79.0,64.4,87.5,2584.0,100.0,94.1,98.4
Maharashtra,MH,Bid,64.6,9.3,65.6,56.8,28.4,79.8,3988.0,94.0,63.7,90.8
Maharashtra,MH,Buldana,78.1,37.9,73.6,72.7,61.2,86.7,2641.0,93.9,70.9,92.4
Maharashtra,MH,Chandrapur,78.9,28.9,76.6,68.5,69.2,92.3,2109.0,99.6,85.2,96.5
Maharashtra,MH,Dhule,73.5,19.8,61.2,63.2,30.7,77.2,2269.0,77.2,48.8,84.2
Maharashtra,MH,Gadchiroli,67.1,33.3,84.6,86.8,70.8,91.5,1847.0,97.3,90.5,98.2
Maharashtra,MH,Gondiya,80.4,30.6,69.0,66.2,46.0,90.0,1684.0,99.1,88.6,98.3
Maharashtra,MH,Hingoli,69.4,14.7,82.5,66.6,23.2,82.4,3114.0,94.0,68.6,95.3
Maharashtra,MH,Jalgaon,77.5,11.9,60.3,58.4,28.9,74.5,3366.0,86.5,40.2,81.9
Maharashtra,MH,Jalna,67.6,9.7,56.0,58.4,27.2,74.0,4178.0,92.8,57.3,86.5
Maharashtra,MH,Kolhapur,80.2,16.5,71.5,81.8,58.8,95.2,2958.0,99.2,45.6,93.6
Maharashtra,MH,Latur,70.6,33.6,74.6,72.6,53.6,93.3,2483.0,94.7,66.8,93.4
Maharashtra,MH,Mumbai,92.5,30.7,86.2,87.1,72.4,90.6,6233.0,99.5,55.5,98.3
Maharashtra,MH,Mumbai Suburban,88.5,20.2,58.1,72.2,54.8,91.5,3943.0,98.1,56.0,98.5
Maharashtra,MH,Nagpur,86.5,25.6,78.1,71.4,57.1,91.4,3249.0,100.0,61.9,96.6
Maharashtra,MH,Nanded,68.1,15.7,62.5,53.5,21.7,76.1,2964.0,94.8,66.7,92.6
Maharashtra,MH,Nandurbar,63.5,15.3,51.0,58.2,38.3,74.4,1313.0,76.3,60.7,77.9
Maharashtra,MH,Nashik,78.2,14.7,66.9,66.4,43.4,76.5,1698.0,90.5,52.0,89.9
Maharashtra,MH,Osmanabad,71.3,14.8,83.9,89.2,66.1,94.4,2654.0,98.1,68.4,99.0
Maharashtra,MH,Palghar,77.5,18.8,84.7,86.3,65.3,97.0,1948.0,94.2,65.9,95.7
Maharashtra,MH,Parbhani,67.1,10.5,58.6,47.4,17.9,64.4,2779.0,85.6,53.6,90.8
Maharashtra,MH,Pune,84.8,14.4,79.6,68.6,50.2,84.2,3677.0,98.0,43.4,98.5
Maharashtra,MH,Raigarh,73.7,26.3,83.8,83.1,61.6,93.0,1676.0,96.6,54.8,97.6
Maharashtra,MH,Ratnagiri,80.3,16.6,64.6,78.6,54.6,89.7,3096.0,97.8,53.5,95.6
Maharashtra,MH,Sangli,80.4,12.3,66.0,80.1,58.2,95.6,3548.0,98.0,38.5,97.6
Maharashtra,MH,Satara,78.5,11.4,77.5,81.7,59.5,94.5,2607.0,97.1,43.8,97.9
Maharashtra,MH,Sindhudurg,83.1,13.2,70.3,73.4,59.6,96.7,3290.0,100.0,65.5,98.6
Maharashtra,MH,Solapur,72.0,20.5,81.3,81.9,60.3,89.6,1910.0,96.2,51.5,96.3
Maharashtra,MH,Thane,86.1,22.7,58.9,70.2,54.9,87.2,2275.0,93.6,50.6,93.9
Maharashtra,MH,Wardha,85.1,27.1,87.9,70.4,50.6,89.9,3482.0,98.8,72.4,99.0
Maharashtra,MH,Washim,76.0,24.1,63.4,60.0,44.5,83.4,3071.0,92.9,65.1,83.1
Maharashtra,MH,Yavatmal,77.6,29.0,77.1,66.9,41.7,85.6,1734.0,96.3,67.4,96.8
